<X>,<Y>
6.79,-12.57
6.790200632,-12.57001131
6.791203793,-12.57006788
6.796219597,-12.57035074
6.821298583,-12.57176559
6.880484434,-12.57510781
6.949635706,-12.57901729
7.027977823,-12.58345014
7.117361338,-12.5885096
7.221106559,-12.59437995
7.343931534,-12.60132006
7.493080057,-12.60972148
7.704450139,-12.62155209
8.003655735,-12.63807928
8.38753635,-12.65876453
8.431684394,-12.6611347
8.475828989,-12.66356613
8.549960547,-12.66778374
8.635340732,-12.67284284
8.730650954,-12.67872243
8.83541603,-12.68541888
8.961347305,-12.69371454
9.114375454,-12.70402734
9.30746305,-12.71716383
9.561222084,-12.73415254
9.905756366,-12.75565218
9.984356512,-12.76017039
10.06767348,-12.76473801
10.1510059,-12.76903564
10.27549167,-12.77492033
10.42225344,-12.78098135
10.62097579,-12.78756187
10.81979236,-12.79212321
11.10900347,-12.79486187
11.48296266,-12.79107948
11.58521488,-12.78854576
11.67530381,-12.78573681
11.76541702,-12.78236211
11.89478172,-12.7765597
12.04568801,-12.76841497
12.23806711,-12.75597704
12.49020818,-12.73637096
12.83609444,-12.70377372
13.19214452,-12.66382502
13.59257515,-12.61172025
13.94224021,-12.56040614
14.22285346,-12.51550302
14.4927567,-12.46930064
14.79662708,-12.41384651
15.1886155,-12.3370605
15.50013389,-12.27188793
15.81100541,-12.20321794
16.1466972,-12.12499274
16.38846029,-12.06602283
16.69831242,-11.98718918
16.69831242,-11.98718918
16.79600039,-11.96158156
16.89359847,-11.93570539
17.03188361,-11.89870452
17.19630662,-11.85451857
17.40996034,-11.7975107
17.69165608,-11.724668
17.85577336,-11.68424001
17.96123936,-11.65925464
18.21260831,-11.60335746
18.49202417,-11.5480772
18.79729002,-11.49674101
18.79729002,-11.49674101
18.90665436,-11.48070677
19.01619232,-11.46583726
19.17205371,-11.44661225
19.36098074,-11.42613663
19.54307482,-11.40909341
19.89911687,-11.3825528
20.22192278,-11.36523352
20.22192278,-11.36523352
20.34823559,-11.35997593
20.47473512,-11.35543764
20.65970821,-11.34988986
20.88841901,-11.34437141
21.15808895,-11.33897971
21.25301964,-11.33726295
21.34800337,-11.33567106
21.48451376,-11.33350773
21.63765695,-11.33108546
21.83609622,-11.3276162
22.09737567,-11.32176169
22.47039108,-11.30902165
22.78480458,-11.29248133
22.86325931,-11.28769166
22.94178711,-11.2831682
23.03337827,-11.27822268
23.13956137,-11.27291799
23.26579226,-11.26718489
23.41972537,-11.26099378
23.52577221,-11.25721488
23.52577221,-11.25721488
23.63346356,-11.2537433
23.74122642,-11.25050871
23.88232244,-11.24635104
24.05279237,-11.24089152
24.2717331,-11.23200561
24.41230784,-11.22450442
24.51365061,-11.21790506
24.61472033,-11.21012937
24.76509259,-11.19614256
24.80474984,-11.19194454
24.80474984,-11.19194454
24.91430255,-11.17921504
25.02348067,-11.16490003
25.16530145,-11.14393554
25.33741259,-11.11499953
25.55975975,-11.07215151
25.85507407,-11.00615591
25.99728544,-10.97084044
26.42577197,-10.85133751
26.69665784,-10.76622059
26.96576991,-10.67479315
27.30179316,-10.55154356
27.30314013,-10.55102992
27.30314013,-10.55102992
27.39923583,-10.51401576
27.49515463,-10.47645969
27.51816882,-10.46737954
27.63306559,-10.42144906
27.72805976,-10.38266157
27.85106008,-10.33136268
27.99846478,-10.26831242
28.18643524,-10.18547051
28.38785978,-10.09372523
28.38785978,-10.09372523
28.47046688,-10.05524024
28.55292749,-10.01639517
28.71797231,-9.937523783
28.90404687,-9.847144121
28.987891,-9.806035823
