yRef,xRef
-12.57,6.79
-12.5700374,6.79019744
-12.57022438,6.79118464
-12.57115931,6.796120642
-12.57583393,6.820800648
-12.58648775,6.877048215
-12.59884215,6.942274127
-12.61542309,7.029814359
-12.6367966,7.142657333
-12.66466869,7.289809942
-12.70197355,7.486763564
-12.75401072,7.761497462
-12.82650222,8.144221395
-12.86776024,8.362045988
-12.88071554,8.43044443
-12.89367085,8.498842871
-12.90826692,8.575903828
-12.92563762,8.66761368
-12.94599767,8.775105962
-12.9702581,8.903190614
-13.00000141,9.060222506
-12.98722526,9.247625089
-12.94920248,9.3959999
-12.91524043,9.528528657
-12.86796173,9.713022458
-12.83142468,9.855599553
-12.81722372,9.91101541
-12.80302275,9.966431268
-12.78324315,10.04361644
-12.76025061,10.13333932
-12.73256952,10.24135815
-12.71691968,10.30242788
-12.71691968,10.30242788
-12.6830701,10.43451776
-12.65247122,10.55392259
-12.61107814,10.71544917
-12.55865009,10.92003708
-12.48707408,11.1993453
-12.46663722,11.27071488
-12.33328644,11.5971718
-12.24004684,11.82543227
-12.14680724,12.05369274
-12.03580219,12.3254449
-11.94933952,12.53711475
-11.83193402,12.8245359
-11.69689249,13.15420809
-11.59411063,13.36695664
-11.49132878,13.57970519
-11.38421351,13.80142351
-11.22098849,14.13928359
-11.09661374,14.39672737
-10.972239,14.65417114
-10.84159934,14.92458266
-10.77552009,15.06298383
-10.74635249,15.12717015
-10.74635249,15.12717015
-10.70976649,15.20768142
-10.6731805,15.28819269
-10.62096507,15.40309816
-10.55817884,15.54126575
-10.47536133,15.72351426
-10.3654844,15.96530984
-10.21804566,16.28976405
-10.10357993,16.54165775
-9.989114201,16.79355144
-9.944864597,16.92225764
-9.925941695,17.02336092
-9.907018793,17.12446419
-9.881722072,17.25962219
-9.849651665,17.43097135
-9.836507167,17.50120116
-9.821250354,17.58271687
-9.80599354,17.66423259
-9.783521607,17.784298
-9.756544016,17.92843673
-9.720537357,18.12081691
-9.672239158,18.37886963
-9.635477975,18.57528116
-9.611268219,18.69807309
-9.596987449,18.76343516
-9.582706678,18.82879723
-9.564388987,18.912636
-9.563876147,18.91498323
-9.563876147,18.91498323
-9.542345059,19.0135295
-9.523117434,19.10153297
-9.497722979,19.21776158
-9.466257902,19.36177501
-9.424619408,19.55235144
-9.36970851,19.80367471
-9.355082374,19.8706175
-9.337039888,19.95319668
-9.318997402,20.03577585
-9.29198239,20.15942164
-9.259282371,20.3090873
-9.231146159,20.45148745
-9.215439488,20.56006035
-9.206281884,20.62336261
-9.206281884,20.62336261
-9.190575213,20.73193551
-9.177616141,20.82151554
-9.160292922,20.94126289
-9.13841217,21.09251435
-9.110623695,21.28460314
-9.072800619,21.54605645
-9.025209661,21.87503059
-8.992994711,22.09771754
-8.959264178,22.32013095
-8.951295558,22.35585688
-8.911452458,22.53448654
-8.830698077,22.89653486
-8.773663824,23.15223808
-8.71662957,23.40794131
-8.699500804,23.48473518
-8.699500804,23.48473518
-8.680721005,23.56893116
-8.673172491,23.60277362
-8.653256521,23.69206343
-8.643301925,23.73669314
-8.643301925,23.73669314
-8.623385955,23.82598296
-8.604644172,23.9100085
-8.580918376,24.01637901
-8.552023267,24.14592524
-8.529192485,24.2111097
-8.503157243,24.27652284
-8.458610316,24.38844629
-8.407941273,24.51575146
-8.341445576,24.68282086
-8.271520902,24.8585055
-8.245923883,24.92281761
-8.220326863,24.98712972
-8.185436431,25.07479138
-8.145165966,25.17597029
-8.09540895,25.30098401
-8.032351959,25.4594137
-7.948464845,25.67017876
-7.831751925,25.96341813
-7.761438634,26.12483012
-7.728422525,26.19356707
-7.695406417,26.26230402
-7.653109058,26.3503638
-7.603981053,26.45264446
-7.543928587,26.57766899
-7.468502149,26.73470092
-7.369521197,26.94077151
-7.234909177,27.22102318
-7.125634385,27.44852474
-7.088366196,27.52611419
-7.051098007,27.60370364
-6.996962297,27.71640994
-6.933475539,27.84858439
-6.851471109,28.01931119
