<X>,<Y>
6.79,-12.57
6.790200951,-12.57
6.791205705,-12.57
6.796229478,-12.57
6.821348343,-12.56999994
6.878596101,-12.56999858
6.944981855,-12.56999246
7.034078721,-12.5699708
7.14892826,-12.5699081
7.298697525,-12.56974189
7.499153348,-12.56931331
7.778772441,-12.56818547
8.168301226,-12.56525822
8.38999801,-12.56273332
8.459612254,-12.56195295
8.529226609,-12.56140813
8.607657637,-12.56106447
8.700998254,-12.56101055
8.810402281,-12.56141038
8.940765323,-12.56249343
9.100590895,-12.56464224
9.303407756,-12.56851097
9.470969955,-12.57241967
9.620635935,-12.5762163
9.828984685,-12.58161426
9.98999558,-12.58560132
10.05257609,-12.58691028
10.11515687,-12.58786264
10.20232224,-12.58859267
10.30364757,-12.58856604
10.42563641,-12.58728422
10.49460498,-12.58595637
10.49460498,-12.58595637
10.6437808,-12.58161527
10.77863107,-12.57602487
10.96104906,-12.56606999
11.19208546,-12.54973735
11.50745558,-12.52120968
11.58991819,-12.51263604
12.00210609,-12.46336713
12.29014176,-12.4230199
12.57798937,-12.37822031
12.92037305,-12.31949226
13.1867768,-12.26994861
13.54804898,-12.19768203
13.96166256,-12.1081261
14.2289074,-12.04655008
14.49569674,-11.98225688
14.77320391,-11.91244317
15.19492768,-11.80069212
15.51524949,-11.71128081
15.83459958,-11.61824023
16.16890325,-11.51663285
16.34050334,-11.46278388
16.42180796,-11.4368645
16.42180796,-11.4368645
16.52368106,-11.40403023
16.6254368,-11.37090033
16.77047619,-11.32327008
16.9446289,-11.26578636
17.17403633,-11.1903605
17.47816187,-11.09269432
17.88665933,-10.96972913
18.20487398,-10.88336357
18.52464064,-10.80661227
18.69042308,-10.77102308
18.82288047,-10.74459605
18.95568244,-10.71975237
19.13373986,-10.68881764
19.36030299,-10.65297745
19.45341905,-10.63927547
19.56167084,-10.62400009
19.67009535,-10.60933048
19.83009733,-10.58874202
20.02263084,-10.56547256
20.28031078,-10.53654406
20.62708107,-10.50084208
20.89175792,-10.47549335
21.0586378,-10.46013943
21.14886324,-10.45210419
21.23919857,-10.44437944
21.35522611,-10.43490636
21.358477,-10.43464797
21.358477,-10.43464797
21.49507455,-10.42410241
21.61721818,-10.41509362
21.77870421,-10.40356354
21.97893436,-10.38943066
22.24385398,-10.37001251
22.59246398,-10.34093981
22.68506676,-10.33217439
22.79909359,-10.32057622
22.91285474,-10.30798682
23.08263342,-10.28709866
23.28714289,-10.25822338
23.47664538,-10.22746279
23.61275212,-10.20274911
23.69180194,-10.18729097
23.69180194,-10.18729097
23.82683954,-10.1589281
23.93774536,-10.13381141
24.08530028,-10.09790413
24.27056369,-10.04889533
24.50412139,-9.981082679
24.81904263,-9.879433104
25.21065204,-9.737512457
25.47293519,-9.633357521
25.73303742,-9.523203401
25.7751389,-9.50474826
25.98480907,-9.410306755
26.40555219,-9.208413277
26.69935374,-9.057956406
26.99039932,-8.901448566
27.07726985,-8.853316639
27.07726985,-8.853316639
27.17223743,-8.799986836
27.21033844,-8.778414259
27.3106474,-8.721075651
27.36065778,-8.692167342
27.36065778,-8.692167342
27.46046949,-8.63386806
27.55415275,-8.578574705
27.67252724,-8.508261916
27.81658858,-8.422689895
27.88845865,-8.380262412
27.9603989,-8.338066658
28.0836932,-8.26647896
28.22431792,-8.186119525
28.40964365,-8.082632959
28.60567568,-7.97652683
28.67770281,-7.938294844
28.74979073,-7.900209563
28.84817304,-7.848575575
28.96193891,-7.789446374
29.1028879,-7.717191449
29.28224459,-7.627095424
29.52236806,-7.510161516
29.85986206,-7.353729888
30.04357211,-7.272664319
30.12011746,-7.239533584
30.19671996,-7.206474023
30.29493895,-7.164221391
30.40913427,-7.115281202
30.54888763,-7.055646862
30.72467017,-6.981021586
30.95575824,-6.883521853
31.2707503,-6.751625866
31.52702954,-6.645080212
31.61450617,-6.608771504
31.70195957,-6.572375895
31.82895504,-6.519358119
31.9778316,-6.456965925
32.17005148,-6.376047949
32.33725253,-6.305366031
32.50444449,-6.234513316
32.72585718,-6.140605704
33.01788662,-6.016983974
33.08855486,-5.98727897
33.15937335,-5.957789404
33.25966917,-5.916483035
33.37420059,-5.869939463
33.51518487,-5.813509744
33.6925356,-5.743787073
33.92637803,-5.653830008
34.24812259,-5.533352496
34.53958442,-5.427143629
34.95114604,-5.281337718
35.24453764,-5.180060577
35.53894188,-5.08045644
35.87810425,-4.968040917
36.10028958,-4.895676661
36.44874492,-4.78413532
36.89911841,-4.643376539
37.01279359,-4.608444796
37.01279359,-4.608444796
37.14118089,-4.56926735
37.26962231,-4.530305949
37.45092566,-4.475562611
37.68116058,-4.4061686
37.99108981,-4.312241627
38.37810804,-4.192581529
38.6644521,-4.101168597
38.94874998,-4.007011894
39.24268789,-3.905190831
39.34917389,-3.867052716
39.45530915,-3.828379251
39.61690313,-3.768140182
39.81117631,-3.693374281
40.07551951,-3.587129319
40.44607199,-3.428445706
40.73354133,-3.296669014
40.80432693,-3.262851515
40.87480021,-3.228442753
40.96974799,-3.180936556
41.07809789,-3.125149099
41.20979044,-3.055142885
41.3733755,-2.964941415
41.58506982,-2.843136921
41.86889764,-2.671422217
42.12740169,-2.507281399
42.45045087,-2.292685953
42.7544257,-2.082016047
42.99746238,-1.908010664
43.21325976,-1.749666782
43.44935693,-1.572553104
43.74253903,-1.347335299
44.05342147,-1.102532577
44.31685564,-0.8905352522
44.53237562,-0.7141126521
44.72627872,-0.5531498064
44.99156352,-0.3295603856
45.32300425,-0.04478918352
45.53976535,0.1447155446
45.75527398,0.3357174099
45.96406005,0.5232718542
46.28067081,0.8125422636
46.52396312,1.038959125
46.76532004,1.267299082
47.01677749,1.509345748
47.15837234,1.647597035
47.3997849,1.8867305
47.71268663,2.203500487
47.9055321,2.402840186
48.09661379,2.603664637
48.29938629,2.820598787
48.58360487,3.131788022
48.79401226,3.367944651
49.00166354,3.606236006
49.22694177,3.871099556
49.37376573,4.047541659
49.59310171,4.317181414
49.8713983,4.670702641
50.03420912,4.884007042
50.19445112,5.099051729
50.36551536,5.334653206
50.6132691,5.688015501
50.78985003,5.949573848
50.96226901,6.213653521
51.14829879,6.509260062
51.25643932,6.686705975
51.43433103,6.988554333
51.65855635,7.388936346
51.78241736,7.620994894
51.9027024,7.854795448
52.026576,8.105289085
52.21341765,8.50464308
52.34269553,8.798757219
52.4659234,9.095295266
52.59340684,9.4218857
52.65478176,9.587540657
52.77049859,9.917621872
52.90622884,10.341307
52.98129478,10.59735089
53.05146752,10.85469769
53.11953699,11.12522979
53.21438292,11.54881967
53.27618769,11.86696123
53.3300905,12.1864426
53.37914269,12.53194437
53.3999904,12.70415018
53.4346477,13.0507536
53.46447196,13.49060379
53.4748373,13.75988559
53.47914216,14.0292891
53.47722164,14.30383099
53.46112069,14.73580697
53.43799077,15.06419712
53.40535327,15.39173237
53.36033768,15.73725376
53.33568116,15.89759427
53.27506162,16.23891561
53.18492465,16.65866459
53.1184157,16.92538343
53.04501891,17.19027248
52.96476366,17.45300792
52.82706967,17.854877
52.82237812,17.86767635
52.82237812,17.86767635
52.77615037,17.99110592
52.72838904,18.11394753
52.65560959,18.29321493
52.56025579,18.51589019
52.46963073,18.71691325
52.40971973,18.84505511
52.36648679,18.93560618
52.28720033,19.0983847
52.19360927,19.28656728
52.06331244,19.54461155
51.88558293,19.89555215
51.76126364,20.14394575
51.64805903,20.37398103
51.60021508,20.47242563
51.57537485,20.52379662
51.57537485,20.52379662
51.52773195,20.62281835
51.46876198,20.74614271
51.39704066,20.89697004
51.30525674,21.090761
51.18209609,21.35098804
51.0202589,21.69096322
50.93392311,21.87055897
50.80445948,22.13669599
50.63989517,22.46844001
50.47662792,22.78941503
50.34162212,23.04831959
50.22134945,23.27390701
50.15388272,23.39836033
49.96810513,23.73339006
49.87533148,23.89656588
49.87533148,23.89656588
49.81708633,23.99761244
49.75828076,24.09842008
